cap_scale,seed,w_app,w_op,w_sys,napp,nsys
0.5,13,0.0,1.0,0.0,0.2911056789845834,0.23744530442359585
0.5,13,0.2,0.0,0.8,0.48014247736070514,0.2097424339307421
0.5,13,0.2,0.2,0.6,0.561537780001211,0.1441431016059895
0.5,13,0.2,0.4,0.4,0.5439366132813943,0.19873034256687835
0.5,13,0.2,0.6,0.2,0.5685827092081683,0.12044760162100052
0.5,13,0.2,0.8,0.0,0.565427188598942,0.11053448811148471
0.5,13,0.4,0.0,0.6,0.5730445549221687,0.14466732732194032
0.5,13,0.4,0.2,0.4,0.5466415789291457,0.1501305962519388
0.5,13,0.4,0.4,0.2,0.5686486914378871,0.13782168502702322
0.5,13,0.4,0.6,0.0,0.5764983101986283,0.12607423343789742
0.5,13,0.6,0.0,0.4,0.6204472828083528,0.10789388424013258
0.5,13,0.6,0.2,0.2,0.6120570056147189,0.12617428384036905
0.5,13,0.6,0.4,0.0,0.5764983101986283,0.12607423343789742
0.5,13,0.8,0.0,0.2,0.5500246169411145,0.09449770371875951
0.5,13,0.8,0.2,0.0,0.5764983101986283,0.12607423343789742
0.5,13,1.0,0.0,0.0,0.594328252915494,0.053867923499288276
0.5,14,0.0,0.0,1.0,0.4153614501818434,0.1587610469826562
0.5,14,0.0,0.2,0.8,0.27158512819740416,0.13531404260118907
0.5,14,0.0,0.4,0.6,0.27158512819740416,0.13531404260118907
0.5,14,0.0,0.6,0.4,0.2667197653378601,0.1451214447758778
0.5,14,0.0,0.8,0.2,0.2667197653378601,0.1451214447758778
0.5,14,0.0,1.0,0.0,0.23554719584771963,0.1448955195264854
0.5,14,0.2,0.0,0.8,0.39809864063412437,0.13226760708813878
0.5,14,0.2,0.2,0.6,0.349721654186527,0.10182783044977163
0.5,14,0.2,0.4,0.4,0.5275191755932893,0.0639531657770885
0.5,14,0.2,0.6,0.2,0.4083467807823459,0.10754784961430026
0.5,14,0.2,0.8,0.0,0.5407444949626796,0.06607880335643877
0.5,14,0.4,0.0,0.6,0.535124590502875,0.09024036261708321
0.5,14,0.4,0.2,0.4,0.4083467807823459,0.10754784961430026
0.5,14,0.4,0.4,0.2,0.49034938782528725,0.0742173685209743
0.5,14,0.4,0.6,0.0,0.5407444949626796,0.06607880335643877
0.5,14,0.6,0.0,0.4,0.5528925593064253,0.05414927604048115
0.5,14,0.6,0.2,0.2,0.5407444949626796,0.06607880335643877
0.5,14,0.6,0.4,0.0,0.5407444949626796,0.06607880335643877
0.5,14,0.8,0.0,0.2,0.5017596689571759,0.13296565316353695
0.5,14,0.8,0.2,0.0,0.5407444949626796,0.06607880335643877
0.5,14,1.0,0.0,0.0,0.5224791897407501,0.034339706843274045
0.5,15,0.0,0.0,1.0,0.38703801690390105,0.21419078959071788
0.5,15,0.0,0.2,0.8,0.3526371507554216,0.2283038420981494
0.5,15,0.0,0.4,0.6,0.3526371507554216,0.2283038420981494
0.5,15,0.0,0.6,0.4,0.3526371507554216,0.2283038420981494
0.5,15,0.0,0.8,0.2,0.3526371507554216,0.2283038420981494
0.5,15,0.0,1.0,0.0,0.38327758773612886,0.1787060768570882
0.5,15,0.2,0.0,0.8,0.44873563899492214,0.23047407318495508
0.5,15,0.2,0.2,0.6,0.4509042064239851,0.25524659657028376
0.5,15,0.2,0.4,0.4,0.4509042064239851,0.25524659657028376
0.5,15,0.2,0.6,0.2,0.4727884110919086,0.17851815258048737
0.5,15,0.2,0.8,0.0,0.547665189024191,0.17182554875010575
0.5,15,0.4,0.0,0.6,0.451643451385357,0.24023223180981532
0.5,15,0.4,0.2,0.4,0.51438530720518,0.20369588263291266
0.5,15,0.4,0.4,0.2,0.4723750411899951,0.1514110513991237
0.5,15,0.4,0.6,0.0,0.547665189024191,0.17182554875010575
0.5,15,0.6,0.0,0.4,0.4723750411899951,0.1514110513991237
0.5,15,0.6,0.2,0.2,0.561197492803838,0.14466705645012173
0.5,15,0.6,0.4,0.0,0.547665189024191,0.17182554875010575
0.5,15,0.8,0.0,0.2,0.5699926065419363,0.15241793762967523
0.5,15,0.8,0.2,0.0,0.547665189024191,0.17182554875010575
0.5,15,1.0,0.0,0.0,0.5554670025207981,0.0973078395531849
0.5,16,0.0,0.0,1.0,0.26324403140395225,0.21777430672055434
0.5,16,0.0,0.2,0.8,0.27846936992943766,0.20201676086967565
0.5,16,0.0,0.4,0.6,0.3309317525678585,0.23677323582826273
0.5,16,0.0,0.6,0.4,0.4350703204951805,0.21202833046290562
0.5,16,0.0,0.8,0.2,0.4350703204951805,0.21202833046290562
0.5,16,0.0,1.0,0.0,0.4670971364114648,0.20293036733274167
0.5,16,0.2,0.0,0.8,0.3602111651882764,0.22371586366488894
0.5,16,0.2,0.2,0.6,0.47354613396924616,0.2407744587315399
0.5,16,0.2,0.4,0.4,0.5184541678392496,0.20238827808365203
0.5,16,0.2,0.6,0.2,0.46236660410238056,0.20149445896771423
0.5,16,0.2,0.8,0.0,0.5033029751937448,0.16370226069181754
0.5,16,0.4,0.0,0.6,0.4285218704106219,0.19058270618250686
0.5,16,0.4,0.2,0.4,0.4819622182810318,0.18910798971255854
0.5,16,0.4,0.4,0.2,0.497745186583911,0.2232809145726643
0.5,16,0.4,0.6,0.0,0.5379143254843942,0.17448867568732015
0.5,16,0.6,0.0,0.4,0.5398290839740825,0.20748978629096362
0.5,16,0.6,0.2,0.2,0.505061547810852,0.16236426561548725
0.5,16,0.6,0.4,0.0,0.5373050938911292,0.18711316481998766
